jblatt@ubuntu-dev:~/src/duderino/everscale$ ./http/proxy/http-client-server-test -c 500 -i 5000 -r 1

# results vs 04-01-20.txt reduced variance in latency by allocating memory for io buffers in chunks of 1000.

CLIENT TRANS SUCCESS: QPS=58221.00, N=58221, LATENCY MSEC MEAN=3.49, VAR=20.71, MIN=1.20, MAX=92.16
CLIENT TRANS SUCCESS: QPS=39369.00, N=39369, LATENCY MSEC MEAN=12.65, VAR=6.47, MIN=3.65, MAX=22.54
CLIENT TRANS SUCCESS: QPS=40786.00, N=40786, LATENCY MSEC MEAN=12.29, VAR=6.55, MIN=4.12, MAX=22.52
CLIENT TRANS SUCCESS: QPS=45996.00, N=45996, LATENCY MSEC MEAN=10.87, VAR=2.11, MIN=3.64, MAX=18.28
CLIENT TRANS SUCCESS: QPS=45142.00, N=45142, LATENCY MSEC MEAN=11.06, VAR=1.62, MIN=4.82, MAX=18.74
CLIENT TRANS SUCCESS: QPS=41549.00, N=41549, LATENCY MSEC MEAN=12.05, VAR=5.49, MIN=4.58, MAX=20.93
CLIENT TRANS SUCCESS: QPS=41216.00, N=41216, LATENCY MSEC MEAN=12.12, VAR=4.46, MIN=5.12, MAX=19.87
CLIENT TRANS SUCCESS: QPS=43437.00, N=43437, LATENCY MSEC MEAN=11.49, VAR=3.98, MIN=4.66, MAX=20.88
CLIENT TRANS SUCCESS: QPS=43268.00, N=43268, LATENCY MSEC MEAN=11.57, VAR=3.59, MIN=4.20, MAX=19.34
CLIENT TRANS SUCCESS: QPS=45885.00, N=45885, LATENCY MSEC MEAN=10.90, VAR=1.47, MIN=4.22, MAX=18.18
CLIENT TRANS SUCCESS: QPS=44880.00, N=44880, LATENCY MSEC MEAN=11.13, VAR=1.04, MIN=5.16, MAX=17.55
CLIENT TRANS SUCCESS: QPS=46060.00, N=46060, LATENCY MSEC MEAN=10.87, VAR=0.93, MIN=5.11, MAX=18.41
CLIENT TRANS SUCCESS: QPS=44366.00, N=44366, LATENCY MSEC MEAN=11.25, VAR=1.91, MIN=4.29, MAX=19.03
CLIENT TRANS SUCCESS: QPS=43294.00, N=43294, LATENCY MSEC MEAN=11.55, VAR=3.15, MIN=3.63, MAX=18.23
CLIENT TRANS SUCCESS: QPS=44109.00, N=44109, LATENCY MSEC MEAN=11.32, VAR=1.70, MIN=4.47, MAX=20.39
CLIENT TRANS SUCCESS: QPS=43101.00, N=43101, LATENCY MSEC MEAN=11.58, VAR=2.20, MIN=4.81, MAX=23.36
CLIENT TRANS SUCCESS: QPS=44166.00, N=44166, LATENCY MSEC MEAN=11.32, VAR=1.83, MIN=4.36, MAX=18.32
CLIENT TRANS SUCCESS: QPS=42892.00, N=42892, LATENCY MSEC MEAN=11.66, VAR=3.59, MIN=4.39, MAX=19.86
CLIENT TRANS SUCCESS: QPS=43542.00, N=43542, LATENCY MSEC MEAN=11.51, VAR=1.84, MIN=4.52, MAX=19.32
CLIENT TRANS SUCCESS: QPS=42800.00, N=42800, LATENCY MSEC MEAN=11.66, VAR=2.59, MIN=5.06, MAX=25.64
CLIENT TRANS SUCCESS: QPS=40763.00, N=40763, LATENCY MSEC MEAN=12.29, VAR=5.90, MIN=4.86, MAX=21.86
CLIENT TRANS SUCCESS: QPS=42226.00, N=42226, LATENCY MSEC MEAN=11.83, VAR=3.14, MIN=4.65, MAX=21.99
CLIENT TRANS SUCCESS: QPS=42545.00, N=42545, LATENCY MSEC MEAN=11.75, VAR=3.20, MIN=5.09, MAX=19.37
CLIENT TRANS SUCCESS: QPS=42791.00, N=42791, LATENCY MSEC MEAN=11.68, VAR=2.50, MIN=4.45, MAX=21.04
CLIENT TRANS SUCCESS: QPS=36702.00, N=36702, LATENCY MSEC MEAN=13.58, VAR=8.46, MIN=4.91, MAX=22.47
CLIENT TRANS SUCCESS: QPS=32514.00, N=32514, LATENCY MSEC MEAN=15.39, VAR=6.28, MIN=5.54, MAX=21.84
CLIENT TRANS SUCCESS: QPS=31918.00, N=31918, LATENCY MSEC MEAN=15.65, VAR=5.74, MIN=4.73, MAX=23.61
CLIENT TRANS SUCCESS: QPS=31794.00, N=31794, LATENCY MSEC MEAN=15.75, VAR=5.59, MIN=4.71, MAX=23.46
CLIENT TRANS SUCCESS: QPS=33268.00, N=33268, LATENCY MSEC MEAN=14.99, VAR=6.31, MIN=3.98, MAX=21.42
CLIENT TRANS SUCCESS: QPS=36442.00, N=36442, LATENCY MSEC MEAN=13.73, VAR=7.40, MIN=4.47, MAX=24.51
CLIENT TRANS SUCCESS: QPS=36013.00, N=36013, LATENCY MSEC MEAN=13.87, VAR=5.32, MIN=4.89, MAX=20.71
CLIENT TRANS SUCCESS: QPS=32686.00, N=32686, LATENCY MSEC MEAN=15.28, VAR=6.87, MIN=5.21, MAX=22.70
CLIENT TRANS SUCCESS: QPS=34367.00, N=34367, LATENCY MSEC MEAN=14.58, VAR=6.88, MIN=4.29, MAX=23.26
CLIENT TRANS SUCCESS: QPS=38200.00, N=38200, LATENCY MSEC MEAN=13.11, VAR=7.70, MIN=3.86, MAX=21.54
CLIENT TRANS SUCCESS: QPS=40002.00, N=40002, LATENCY MSEC MEAN=12.48, VAR=4.41, MIN=5.27, MAX=21.04
CLIENT TRANS SUCCESS: QPS=32835.00, N=32835, LATENCY MSEC MEAN=15.23, VAR=6.93, MIN=4.61, MAX=23.68
CLIENT TRANS SUCCESS: QPS=35272.00, N=35272, LATENCY MSEC MEAN=14.20, VAR=7.98, MIN=4.10, MAX=22.35
CLIENT TRANS SUCCESS: QPS=36453.00, N=36453, LATENCY MSEC MEAN=13.69, VAR=8.07, MIN=4.87, MAX=21.22
CLIENT TRANS SUCCESS: QPS=39078.00, N=39078, LATENCY MSEC MEAN=12.78, VAR=5.20, MIN=4.82, MAX=24.14
CLIENT TRANS SUCCESS: QPS=33984.00, N=33984, LATENCY MSEC MEAN=14.70, VAR=6.63, MIN=4.40, MAX=21.70
CLIENT TRANS SUCCESS: QPS=33581.00, N=33581, LATENCY MSEC MEAN=14.89, VAR=7.17, MIN=4.47, MAX=23.41
CLIENT TRANS SUCCESS: QPS=30915.00, N=30915, LATENCY MSEC MEAN=16.17, VAR=5.76, MIN=3.66, MAX=22.81
CLIENT TRANS SUCCESS: QPS=32181.00, N=32181, LATENCY MSEC MEAN=15.55, VAR=8.23, MIN=4.82, MAX=22.30
CLIENT TRANS SUCCESS: QPS=32634.00, N=32634, LATENCY MSEC MEAN=15.34, VAR=7.43, MIN=4.87, MAX=22.65
CLIENT TRANS SUCCESS: QPS=35304.00, N=35304, LATENCY MSEC MEAN=14.16, VAR=7.56, MIN=4.64, MAX=22.97
CLIENT TRANS SUCCESS: QPS=32010.00, N=32010, LATENCY MSEC MEAN=14.19, VAR=6.25, MIN=3.96, MAX=22.14
CLIENT TRANS SUCCESS: QPS=35458.00, N=35458, LATENCY MSEC MEAN=15.38, VAR=1795.34, MIN=4.10, MAX=1021.06
CLIENT TRANS SUCCESS: QPS=36243.00, N=36243, LATENCY MSEC MEAN=13.78, VAR=6.93, MIN=3.60, MAX=23.41
CLIENT TRANS SUCCESS: QPS=35343.00, N=35343, LATENCY MSEC MEAN=14.12, VAR=7.67, MIN=5.19, MAX=22.86
CLIENT TRANS SUCCESS: QPS=35144.00, N=35144, LATENCY MSEC MEAN=14.26, VAR=6.70, MIN=5.08, MAX=22.60
CLIENT TRANS SUCCESS: QPS=35035.00, N=35035, LATENCY MSEC MEAN=14.24, VAR=8.04, MIN=2.62, MAX=28.22
CLIENT TRANS SUCCESS: QPS=35977.00, N=35977, LATENCY MSEC MEAN=13.89, VAR=6.84, MIN=4.03, MAX=23.41
CLIENT TRANS SUCCESS: QPS=34472.00, N=34472, LATENCY MSEC MEAN=14.50, VAR=7.22, MIN=5.06, MAX=22.35
CLIENT TRANS SUCCESS: QPS=36955.00, N=36955, LATENCY MSEC MEAN=13.56, VAR=6.37, MIN=4.95, MAX=22.20
CLIENT TRANS SUCCESS: QPS=35377.00, N=35377, LATENCY MSEC MEAN=14.09, VAR=7.46, MIN=4.25, MAX=23.06
CLIENT TRANS SUCCESS: QPS=29346.00, N=29346, LATENCY MSEC MEAN=12.67, VAR=22.12, MIN=0.16, MAX=22.81
CLIENT TRANS SUCCESS: QPS=2597.00, N=2597, LATENCY MSEC MEAN=8.76, VAR=58.76, MIN=0.17, MAX=20.99
SERVER CONNECTION ACCEPTS: 2500000
SERVER AVG TRANS PER CONNECTION: N=2500000, MEAN=1.00, VAR=0.00, MIN=1.00, MAX=1.00

