jblatt@ubuntu-dev:~/src/duderino/everscale$ ./http/proxy/http-client-server-test -c 500 -i 5000 -r 1

# results vs 04-06-20.txt... split io buffs between send and recv buffs with no ill effect.

CLIENT TRANS SUCCESS: QPS=173525.00, N=173525, LATENCY MSEC MEAN=2.95, VAR=6.56, MIN=0.26, MAX=85.69
CLIENT TRANS SUCCESS: QPS=44511.00, N=44511, LATENCY MSEC MEAN=11.25, VAR=2.97, MIN=3.39, MAX=18.67
CLIENT TRANS SUCCESS: QPS=42310.00, N=42310, LATENCY MSEC MEAN=11.81, VAR=2.46, MIN=4.05, MAX=20.30
CLIENT TRANS SUCCESS: QPS=42520.00, N=42520, LATENCY MSEC MEAN=11.75, VAR=2.44, MIN=3.68, MAX=19.22
CLIENT TRANS SUCCESS: QPS=43192.00, N=43192, LATENCY MSEC MEAN=11.59, VAR=3.70, MIN=4.89, MAX=24.78
CLIENT TRANS SUCCESS: QPS=44600.00, N=44600, LATENCY MSEC MEAN=11.21, VAR=1.13, MIN=4.52, MAX=18.07
CLIENT TRANS SUCCESS: QPS=44189.00, N=44189, LATENCY MSEC MEAN=11.31, VAR=0.88, MIN=4.83, MAX=18.88
CLIENT TRANS SUCCESS: QPS=43628.00, N=43628, LATENCY MSEC MEAN=11.47, VAR=1.48, MIN=4.60, MAX=19.14
CLIENT TRANS SUCCESS: QPS=43449.00, N=43449, LATENCY MSEC MEAN=11.50, VAR=1.54, MIN=4.48, MAX=21.68
CLIENT TRANS SUCCESS: QPS=44113.00, N=44113, LATENCY MSEC MEAN=11.34, VAR=1.52, MIN=3.89, MAX=18.39
CLIENT TRANS SUCCESS: QPS=42102.00, N=42102, LATENCY MSEC MEAN=11.87, VAR=2.45, MIN=4.65, MAX=19.22
CLIENT TRANS SUCCESS: QPS=42859.00, N=42859, LATENCY MSEC MEAN=11.67, VAR=2.39, MIN=4.79, MAX=20.54
CLIENT TRANS SUCCESS: QPS=42449.00, N=42449, LATENCY MSEC MEAN=11.78, VAR=2.41, MIN=4.51, MAX=23.07
CLIENT TRANS SUCCESS: QPS=43380.00, N=43380, LATENCY MSEC MEAN=11.52, VAR=2.32, MIN=4.14, MAX=21.92
CLIENT TRANS SUCCESS: QPS=42534.00, N=42534, LATENCY MSEC MEAN=11.76, VAR=2.00, MIN=4.72, MAX=19.40
CLIENT TRANS SUCCESS: QPS=41715.00, N=41715, LATENCY MSEC MEAN=11.98, VAR=3.21, MIN=5.05, MAX=21.37
CLIENT TRANS SUCCESS: QPS=42236.00, N=42236, LATENCY MSEC MEAN=11.83, VAR=2.15, MIN=4.96, MAX=19.38
CLIENT TRANS SUCCESS: QPS=41798.00, N=41798, LATENCY MSEC MEAN=11.95, VAR=2.19, MIN=4.88, MAX=20.07
CLIENT TRANS SUCCESS: QPS=42570.00, N=42570, LATENCY MSEC MEAN=11.72, VAR=2.91, MIN=4.75, MAX=21.86
CLIENT TRANS SUCCESS: QPS=39900.00, N=39900, LATENCY MSEC MEAN=12.55, VAR=4.33, MIN=4.63, MAX=20.56
CLIENT TRANS SUCCESS: QPS=39830.00, N=39830, LATENCY MSEC MEAN=12.53, VAR=5.25, MIN=4.80, MAX=24.27
CLIENT TRANS SUCCESS: QPS=42698.00, N=42698, LATENCY MSEC MEAN=11.74, VAR=2.51, MIN=4.87, MAX=19.99
CLIENT TRANS SUCCESS: QPS=41933.00, N=41933, LATENCY MSEC MEAN=9.95, VAR=12.65, MIN=0.18, MAX=19.67
CLIENT TRANS SUCCESS: QPS=11065.00, N=11065, LATENCY MSEC MEAN=15.25, VAR=8.94, MIN=0.18, MAX=17.99
CLIENT TRANS SUCCESS: QPS=4759.00, N=4759, LATENCY MSEC MEAN=3.79, VAR=0.08, MIN=0.16, MAX=5.81
SERVER CONNECTION ACCEPTS: 2500000
SERVER AVG TRANS PER CONNECTION: N=2500000, MEAN=1.00, VAR=0.00, MIN=1.00, MAX=1.00

